"filename", "language", "Python", "sqlite3-editor-database", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\register.html", "HTML", 0, 0, 0, 92, 0, 20, 112
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\urls.py", "Python", 13, 0, 0, 0, 0, 3, 16
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\views.py", "Python", 99, 0, 0, 0, 0, 22, 121
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\admin.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\apps.py", "Python", 4, 0, 0, 0, 0, 2, 6
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\migrations\0001_initial.py", "Python", 14, 0, 0, 0, 1, 7, 22
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\models.py", "Python", 3, 0, 0, 0, 1, 2, 6
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\templates\sitesettings\sitesettings.html", "HTML", 0, 0, 0, 11, 1, 5, 17
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\urls.py", "Python", 5, 0, 0, 0, 0, 2, 7
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\views.py", "Python", 5, 0, 0, 0, 0, 2, 7
"c:\Users\Jolan\Desktop\proximitylinked\static\js\admin_clear_buttons.js", "JavaScript", 0, 0, 13, 0, 0, 1, 14
"c:\Users\Jolan\Desktop\proximitylinked\templates\base.html", "HTML", 0, 0, 0, 254, 1, 28, 283
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\admin.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\forms.py", "Python", 45, 0, 0, 0, 1, 7, 53
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\migrations\0001_initial.py", "Python", 22, 0, 0, 0, 1, 7, 30
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\models.py", "Python", 19, 0, 0, 0, 1, 7, 27
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\templates\userprofile\edit_profile.html", "HTML", 0, 0, 0, 96, 0, 24, 120
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\templates\userprofile\profile.html", "HTML", 0, 0, 0, 152, 0, 39, 191
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\urls.py", "Python", 8, 0, 0, 0, 0, 2, 10
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\views.py", "Python", 43, 0, 0, 0, 1, 11, 55
"Total", "-", 1959, 86, 13, 1860, 110, 812, 4840
