"filename", "language", "Python", "HTML", "JavaScript", "sqlite3-editor-database", "XML", "comment", "blank", "total"
"c:\Users\Jolan\Desktop\proximitylinked\posts\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\posts\models.py", "Python", 44, 0, 0, 0, 0, 3, 14, 61
"c:\Users\Jolan\Desktop\proximitylinked\posts\templates\posts\post.html", "HTML", 0, 289, 0, 0, 0, 3, 42, 334
"c:\Users\Jolan\Desktop\proximitylinked\posts\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\posts\urls.py", "Python", 9, 0, 0, 0, 0, 1, 3, 13
"c:\Users\Jolan\Desktop\proximitylinked\posts\views.py", "Python", 158, 0, 0, 0, 0, 4, 23, 185
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\admin.py", "Python", 99, 0, 0, 0, 0, 1, 22, 122
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\choices.py", "Python", 27, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\forms.py", "Python", 71, 0, 0, 0, 0, 4, 15, 90
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0001_initial.py", "Python", 31, 0, 0, 0, 0, 1, 7, 39
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0002_alter_customuser_birth_year.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0003_remove_customuser_birth_year_and_more.py", "Python", 21, 0, 0, 0, 0, 1, 6, 28
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0004_alter_customuser_phone_number.py", "Python", 13, 0, 0, 0, 0, 1, 6, 20
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0005_customuser_main_language_customuser_profile_picture_and_more.py", "Python", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0006_customuser_show_date_of_birth_customuser_show_email_and_more.py", "Python", 42, 0, 0, 0, 0, 1, 6, 49
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0007_alter_customuser_pronouns.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0008_customuser_bio_customuser_show_bio.py", "Python", 17, 0, 0, 0, 0, 1, 6, 24
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0009_alter_customuser_main_language_and_more.py", "Python", 17, 0, 0, 0, 0, 1, 6, 24
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0010_customuser_interests_customuser_location.py", "Python", 18, 0, 0, 0, 0, 1, 6, 25
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0011_alter_customuser_interests.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0012_friendship.py", "Python", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\models.py", "Python", 128, 0, 0, 0, 0, 1, 25, 154
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\activation_email.html", "HTML", 0, 4, 0, 0, 0, 0, 4, 8
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\activation_failed.html", "HTML", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\activation_success.html", "HTML", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\email_verification_sent.html", "HTML", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\forgot_password.html", "HTML", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\login.html", "HTML", 0, 18, 0, 0, 0, 0, 8, 26
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\password_reset_complete.html", "HTML", 0, 4, 0, 0, 0, 0, 1, 5
