"filename", "language", "JavaScript", "CSS", "HTML", "XML", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\vendor\select2\select2.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\css\widgets.css", "CSS", 0, 503, 0, 0, 0, 0, 9, 102, 614
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\calendar-icons.svg", "XML", 0, 0, 0, 63, 0, 0, 0, 1, 64
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\gis\move_vertex_off.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\gis\move_vertex_on.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-addlink.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-alert.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-calendar.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-changelink.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-clock.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-deletelink.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-hidelink.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-no.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-unknown-alt.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-unknown.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-viewlink.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-yes.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\inline-delete.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\search.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\selector-icons.svg", "XML", 0, 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\sorting-icons.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\tooltag-add.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\tooltag-arrowright.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\SelectBox.js", "JavaScript", 111, 0, 0, 0, 0, 0, 5, 1, 117
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\SelectFilter2.js", "JavaScript", 258, 0, 0, 0, 0, 0, 28, 22, 308
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\actions.js", "JavaScript", 175, 0, 0, 0, 0, 0, 9, 21, 205
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\admin\DateTimeShortcuts.js", "JavaScript", 317, 0, 0, 0, 0, 0, 65, 27, 409
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\admin\RelatedObjectLookups.js", "JavaScript", 216, 0, 0, 0, 0, 0, 14, 23, 253
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\autocomplete.js", "JavaScript", 28, 0, 0, 0, 0, 0, 2, 4, 34
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\calendar.js", "JavaScript", 196, 0, 0, 0, 0, 0, 28, 16, 240
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\cancel.js", "JavaScript", 24, 0, 0, 0, 0, 0, 3, 3, 30
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\change_form.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 1, 17
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\core.js", "JavaScript", 148, 0, 0, 0, 0, 0, 19, 18, 185
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\filters.js", "JavaScript", 20, 0, 0, 0, 0, 0, 6, 5, 31
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\inlines.js", "JavaScript", 272, 0, 0, 0, 0, 0, 61, 27, 360
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\jquery.init.js", "JavaScript", 2, 0, 0, 0, 0, 0, 6, 1, 9
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\nav_sidebar.js", "JavaScript", 73, 0, 0, 0, 0, 0, 1, 6, 80
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\popup_response.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\prepopulate.js", "JavaScript", 29, 0, 0, 0, 0, 0, 10, 5, 44
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\prepopulate_init.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\theme.js", "JavaScript", 43, 0, 0, 0, 0, 0, 3, 6, 52
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\unusable_password_field.js", "JavaScript", 24, 0, 0, 0, 0, 0, 5, 1, 30
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\urlify.js", "JavaScript", 159, 0, 0, 0, 0, 0, 5, 6, 170
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\jquery\jquery.js", "JavaScript", 6767, 0, 0, 0, 0, 0, 1887, 2063, 10717
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\jquery\jquery.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\LICENSE.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 5, 22
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\af.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\az.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\bg.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\bn.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\bs.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ca.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\cs.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\da.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\de.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\dsb.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\el.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\en.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\es.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\et.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\eu.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\fa.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\fi.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\fr.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\gl.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
