Date : 2025-05-12 17:04:57
Directory : c:\Users\Jolan\Desktop\proximitylinked
Total : 169 files,  28974 codes, 4488 comments, 6618 blanks, all 40080 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-deletelink.svg                         | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-hidelink.svg                           | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-no.svg                                 | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-unknown-alt.svg                        | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-unknown.svg                            | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-viewlink.svg                           | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\icon-yes.svg                                | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\inline-delete.svg                           | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\search.svg                                  | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\selector-icons.svg                          | XML        |         34 |          0 |          1 |         35 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\sorting-icons.svg                           | XML        |         19 |          0 |          1 |         20 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\tooltag-add.svg                             | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\img\tooltag-arrowright.svg                      | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\SelectBox.js                                 | JavaScript |        111 |          5 |          1 |        117 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\SelectFilter2.js                             | JavaScript |        258 |         28 |         22 |        308 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\actions.js                                   | JavaScript |        175 |          9 |         21 |        205 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\admin\DateTimeShortcuts.js                   | JavaScript |        317 |         65 |         27 |        409 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\admin\RelatedObjectLookups.js                | JavaScript |        216 |         14 |         23 |        253 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\autocomplete.js                              | JavaScript |         28 |          2 |          4 |         34 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\calendar.js                                  | JavaScript |        196 |         28 |         16 |        240 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\cancel.js                                    | JavaScript |         24 |          3 |          3 |         30 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\change_form.js                               | JavaScript |         14 |          2 |          1 |         17 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\core.js                                      | JavaScript |        148 |         19 |         18 |        185 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\filters.js                                   | JavaScript |         20 |          6 |          5 |         31 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\inlines.js                                   | JavaScript |        272 |         61 |         27 |        360 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\jquery.init.js                               | JavaScript |          2 |          6 |          1 |          9 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\nav_sidebar.js                               | JavaScript |         73 |          1 |          6 |         80 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\popup_response.js                            | JavaScript |         15 |          0 |          1 |         16 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\prepopulate.js                               | JavaScript |         29 |         10 |          5 |         44 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\prepopulate_init.js                          | JavaScript |         15 |          0 |          1 |         16 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\theme.js                                     | JavaScript |         43 |          3 |          6 |         52 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\unusable_password_field.js                   | JavaScript |         24 |          5 |          1 |         30 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\urlify.js                                    | JavaScript |        159 |          5 |          6 |        170 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\jquery\jquery.js                      | JavaScript |      6,767 |      1,887 |      2,063 |     10,717 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\jquery\jquery.min.js                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\LICENSE.md                    | Markdown   |         17 |          0 |          5 |         22 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\af.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ar.js                    | JavaScript |          1 |          1 |          1 |          3 |
